,losses,macro,micro,sample,weighted
100,0.44176741659641267,0.8352906148224806,0.8548577403390161,0.7663366373210124,0.8435815115873223
200,0.2937438787519932,0.9167449384369937,0.9174322875107528,0.7970350014568764,0.9177783422436693
300,0.29662476867437365,0.9133032260120941,0.9139252757002074,0.7900064189282938,0.9141183786919406
400,0.26460241839289667,0.9239625212356307,0.9243706797880953,0.7941334026216839,0.9246956825704092
500,0.2640379297733307,0.925367037711071,0.9256218116498945,0.7996777532363469,0.925990419821504
600,0.3647040329873562,0.880290461506673,0.8895255329067112,0.7756177637466699,0.8867094657583108
700,0.6242220306396484,0.6414523857165146,0.7532172481737881,0.6924886047112611,0.6958363203236854
800,0.6221767270565033,0.6274441660843748,0.7546747121616281,0.6964548385642135,0.6877426670955549
900,0.6213524132966995,0.6498527277584367,0.7593452860722835,0.6997633941579257,0.7025973774898236
1000,0.6139039212465286,0.6571947329423763,0.7641206003807858,0.703111845186064,0.7097157092695733
1100,0.46965018004179,0.8315176993634273,0.8441187451792007,0.7477614911130536,0.8421922097693499
1200,0.6768940758705139,0.6752651044416609,0.7610442107449047,0.6843188187680376,0.7194266649217722
1300,0.6191821849346161,0.6089596346394601,0.7526129848442379,0.6961859841547343,0.6750504570929503
1400,0.6211357057094574,0.6043997897779689,0.7504815872440487,0.6931626897408149,0.6708142342972034
1500,0.6225921541452408,0.61211567910934,0.7505012790022509,0.6926125896672772,0.6751265748483006
1600,0.6210484749078751,0.6181322062273467,0.7534814393009797,0.6952280891851206,0.6812058497513281
1700,0.6222917145490646,0.6293389087771665,0.7548989425458907,0.6962703151882841,0.6883811289018198
1800,0.6201484400033951,0.6371533686980201,0.7563016366129551,0.6967800381042568,0.6929634570248834
