,losses,macro,micro,sample,weighted
100,0.5027793930470943,0.8083526926870089,0.8414454789032075,0.7601055168789546,0.8257619757340455
200,0.216356917694211,0.9386301161498775,0.9408740904309539,0.8421111705135143,0.941065204928
300,0.17322281800210476,0.9508108086494578,0.9524615657884397,0.8673007383241758,0.9525563429871323
400,0.1486655730754137,0.9580748498017279,0.9599271468884706,0.88824256993007,0.9599654153086961
500,0.13902738504111767,0.9610402289041536,0.9627911178552825,0.8942402536699413,0.9628101394750078
600,0.13469252467155457,0.9618824244436367,0.9637022743993213,0.8952505476294539,0.9637265151952095
700,0.09693273957818746,0.9715431999012004,0.972794604935091,0.9080422776008714,0.9727433483755015
800,0.09219571378082037,0.9722484172684054,0.9734642477483672,0.9022224030309968,0.973493786321916
900,0.09323355998843909,0.9716384741126609,0.972898588900148,0.905873049259768,0.9728948333093514
1000,0.09405179295688867,0.971575427133522,0.9727699919270927,0.908284348464036,0.9727597599460167
1100,0.09065474208444357,0.9724908077440181,0.9737073770997311,0.907239070391414,0.9736766118018437
1200,0.09098507799208164,0.9713972264429469,0.9725814949639792,0.9092491315108504,0.9725811820363686
1300,0.06268051281571388,0.979105281889912,0.9802321230721529,0.9124676863934676,0.9801929750570071
1400,0.06389881856739521,0.9791819705195958,0.9803445616024637,0.916819901452714,0.9803214363162585
1500,0.060426930636167525,0.9796119594471938,0.9809775689054884,0.9176834836170774,0.9809546207057673
1600,0.062389830499887465,0.9795719399134196,0.9806964765635269,0.918564082185176,0.9806571046298833
1700,0.06103661220520735,0.9798810646919967,0.9809271019246921,0.9180689935064936,0.9808766550561411
1800,0.06149873312562704,0.979355688591944,0.9805879600518899,0.9190950156614218,0.9805392166802714
