,losses,macro,micro,sample,weighted
100,13.607678104639053,0.6455115607429562,0.7383109848403798,0.6742120206182706,0.6837642791649843
200,0.6195112502574921,0.6180548995511574,0.7545476899026311,0.6966408886252639,0.6803254439487412
300,0.6238148427009582,0.5977324110283011,0.7480820817599194,0.6901325349997225,0.6655311620341604
400,0.6218919283151627,0.594322058609746,0.7494110370794079,0.6930080331994395,0.6649190122806256
500,0.621517397761345,0.5954429015027596,0.7491159533205731,0.6920652138659951,0.6635897789234371
600,0.6205334722995758,0.5973863895998222,0.7507426100853745,0.6946039823891387,0.6657152263112381
700,0.6224036806821823,0.5897385141527873,0.7479393563689624,0.6916425189393941,0.6606584170134941
800,0.6208444166183472,0.5906628993835159,0.7484632692662759,0.6921983515616329,0.6620696503332103
900,0.6205833369493484,0.5947781017747561,0.7501793148533709,0.6941413941960819,0.6634460664798367
1000,0.6203395384550094,0.6042184339210488,0.7515781024165364,0.6938659339792151,0.6692186838985699
1100,0.6216223132610321,0.5899371537686277,0.7477959141037535,0.6917510709776334,0.6602310658718948
1200,0.6202019256353378,0.5990161247768129,0.7499098418724194,0.6927229753753191,0.6650368063641308
1300,0.6225299775600434,0.5892885792128242,0.7474887837153211,0.6907886171987735,0.6603413647939731
1400,0.6233444619178772,0.5899023126384879,0.7472967600842899,0.6905668177308804,0.6593094950557874
1500,0.6199597120285034,0.5921899138496544,0.749866874144832,0.6939789242875181,0.6617380110981037
1600,0.6209660267829895,0.5900098286338814,0.7479676346106148,0.6907490530303031,0.6605502322970203
1700,0.6177683526277542,0.5927232381404707,0.750767685433422,0.6959917985660173,0.6629208213564197
1800,0.6195559960603714,0.6023439885234341,0.7513940421527261,0.6940373493693807,0.6694020201971504
