,losses,macro,micro,sample,weighted
100,0.4265422697365284,0.8434602328487454,0.8610261339204806,0.7706851785367413,0.8527279946492935
200,0.24516688868403436,0.9309141579458885,0.9303197056694359,0.7992361562049062,0.9306152511764568
300,0.20924006670713424,0.9411771714756568,0.9407102910356917,0.827173450247669,0.9410646463379762
400,0.19136571228504182,0.9470092391006049,0.9465287868904937,0.8366289470078534,0.9467834444782949
500,0.18657212257385253,0.9483645559056181,0.9480853907009354,0.8454373647186147,0.948280170384765
600,0.1830056382715702,0.9495712174054564,0.9492391186817098,0.8476614951888389,0.9494435297604794
700,0.145919903293252,0.960603682301971,0.960223815722715,0.86711104260323,0.9603106142219516
800,0.13546747386455535,0.9623327951501556,0.9619429863793241,0.8667556189470252,0.9620384902268034
900,0.13481632806360722,0.9630080931273927,0.9630066760077216,0.8712096414869853,0.9630842669593581
1000,0.13516030073165894,0.9634391677691861,0.9631268821326069,0.872742579035548,0.9632139310989536
1100,0.13241708517074585,0.9637908632332723,0.9634634243829087,0.8801016075937952,0.9635449007325383
1200,0.13091552697122097,0.9642186699421527,0.9641261399798137,0.877853950303169,0.9641960238313158
1300,0.08819401245564222,0.9763270051137285,0.9763115307050739,0.8916729255987067,0.9763233236512519
1400,0.08539613924920558,0.9770908582319215,0.9769273071824083,0.897725977147852,0.9769578926252676
1500,0.09110970880836249,0.975063622431572,0.9751040131422546,0.8957597120761183,0.975102717528806
1600,0.09215698160231113,0.9742894517118805,0.9743267967559527,0.8953512815309691,0.9743335536531943
1700,0.0910112752020359,0.9749708532579997,0.9749473656529919,0.8973274013313075,0.9749651959466776
1800,0.09459921650588513,0.9738024813201526,0.9739042776754223,0.8976110334977524,0.9739209840870582
