,losses,macro,micro,sample,weighted
100,2.266068966090679,0.5252676289856691,0.6932464999782496,0.6306747675067989,0.6123782236512346
200,0.2764613236486912,0.8687624680524295,0.8936466719704428,0.8014607280740093,0.8867796020698562
300,0.1862855341285467,0.9338425137333556,0.9398726694247727,0.8541409254807694,0.9408628163006388
400,0.17150428503751755,0.9381161010675981,0.9449920674236174,0.8639179171522922,0.9460412868213774
500,0.15137264490127564,0.9451403620434838,0.9523900995272341,0.8751098543643859,0.9533079352677014
600,0.11873845808207989,0.9575573065652265,0.9648460731502062,0.8938947194298756,0.9655440025488536
700,0.11644845493137837,0.9584000928408646,0.9651099885474755,0.8935432583909148,0.965719175963014
800,0.11308636583387852,0.9581583794347925,0.9656348827454955,0.8938004985465924,0.9662975258534088
900,0.1114445174485445,0.9587615608319398,0.9660198737390886,0.8967651198627759,0.9665834658477673
1000,0.11093787100166082,0.958115353907315,0.9652755913835758,0.8944862862345988,0.9658439253426306
1100,0.0835282213613391,0.9662486918024987,0.9732445979256644,0.8993878851183539,0.9735952990274819
1200,0.08624918669462205,0.9669752898839893,0.9733462022227519,0.9016752193119381,0.9736094806714497
1300,0.08636256624013186,0.9653405164069233,0.9724503278641217,0.9012555799235487,0.9727777450197922
1400,0.084918909445405,0.966013596770846,0.9728844908496628,0.9027561128108001,0.9732213197238757
1500,0.08362442042678594,0.9667643759844209,0.9733957552353064,0.904477556013431,0.9736965159430723
